"BehaviorSpace results (NetLogo 6.0.4)"
"20190209 RecMechOLM.nlogo"
"info_asym_auctiontype"
"02/13/2019 09:06:45:350 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-employers","num-employees","coef-strategy","print-log","coef-nr-jobs","coef-talent","coef-feedback","num-jobs","auction","[step]","earn-rep0_30","earn-rep30_70","earn-rep70_100","jobs-rep0_30","jobs-rep30_70","jobs-rep70_100","count-no-work","meanrep-no-work"
"4","30","120","0.001","false","0.5","0.5","0.75","200","open","207","85.16588716104637","256.4925453373238","1020.0094334411084","0.38095238095238093","1.2933333333333332","4.25","45","38.75555555555555"
"1","30","120","0.001","false","0.5","0.5","0.75","200","open","213","108.60699837238046","342.0522725597395","731.5686943291955","0.4583333333333333","1.408450704225352","4.08","51","39.588235294117645"
"3","30","120","0.001","false","0.5","0.5","0.75","200","open","215","40.92799911005306","353.5777106846356","994.620893432446","0.15789473684210525","1.4933333333333334","3.8461538461538463","51","38.98039215686274"
"2","30","120","0.001","false","0.5","0.5","0.75","200","open","215","43.58346589862938","399.2550506467451","878.2594776379486","0.2608695652173913","1.68","3.772727272727273","47","38.40425531914894"
"5","30","120","0.001","false","0.5","0.5","0.75","200","open","210","127.45277472765908","270.83924455887256","994.4542086829329","0.6956521739130435","1.4605263157894737","3.9523809523809526","43","42.30232558139535"
"6","30","120","0.001","false","0.5","0.5","0.75","200","open","213","41.46262478916485","314.1964738089511","785.0409800247528","0.2857142857142857","1.4464285714285714","3.4444444444444446","45","38.4"
"7","30","120","0.001","false","0.5","0.5","0.75","200","open","207","23.844932126602597","293.5255442289938","1011.5423152896957","0.15789473684210525","1.3835616438356164","3.6785714285714284","50","40.36"
"8","30","120","0.001","false","0.5","0.5","0.75","200","open","204","35.84110463400919","367.48191334707417","791.0159582892693","0.2","1.6233766233766234","3.260869565217391","41","38.80487804878049"
"9","30","120","0.001","false","0.5","0.5","0.75","200","open","213","139.8582535357828","340.63469551934713","736.4144741297366","0.47619047619047616","1.5","3.3793103448275863","44","41.04545454545455"
"11","30","120","0.001","false","0.5","0.5","0.75","200","open","214","11.83064917728539","303.651434395891","975.0340837222412","0.125","1.4625","3.9583333333333335","49","39.734693877551024"
